index	max_depth	max_features	min_samples_leaf	min_samples_split	n_estimators
797	15	0.25	100	5	800
798	15	0.25	100	10	200
799	15	0.25	100	10	400
800	15	0.25	100	10	800
801	15	0.25	100	20	200
802	15	0.25	100	20	400
803	15	0.25	100	20	800
804	15	0.25	100	40	200
805	15	0.25	100	40	400
806	15	0.25	100	40	800
807	15	0.25	100	100	200
808	15	0.25	100	100	400
809	15	0.25	100	100	800
810	15	0.5	1	2	200
811	15	0.5	1	2	400
812	15	0.5	1	2	800
813	15	0.5	1	5	200
814	15	0.5	1	5	400
815	15	0.5	1	5	800
816	15	0.5	1	10	200
817	15	0.5	1	10	400
818	15	0.5	1	10	800
819	15	0.5	1	20	200
820	15	0.5	1	20	400
821	15	0.5	1	20	800
822	15	0.5	1	40	200
823	15	0.5	1	40	400
824	15	0.5	1	40	800
825	15	0.5	1	100	200
826	15	0.5	1	100	400
827	15	0.5	1	100	800
828	15	0.5	10	2	200
829	15	0.5	10	2	400
830	15	0.5	10	2	800
831	15	0.5	10	5	200
832	15	0.5	10	5	400
833	15	0.5	10	5	800
834	15	0.5	10	10	200
835	15	0.5	10	10	400
836	15	0.5	10	10	800
837	15	0.5	10	20	200
838	15	0.5	10	20	400
839	15	0.5	10	20	800
840	15	0.5	10	40	200
841	15	0.5	10	40	400
842	15	0.5	10	40	800
843	15	0.5	10	100	200
844	15	0.5	10	100	400
845	15	0.5	10	100	800
846	15	0.5	20	2	200
847	15	0.5	20	2	400
848	15	0.5	20	2	800
849	15	0.5	20	5	200
850	15	0.5	20	5	400
851	15	0.5	20	5	800
852	15	0.5	20	10	200
853	15	0.5	20	10	400
854	15	0.5	20	10	800
855	15	0.5	20	20	200
856	15	0.5	20	20	400
857	15	0.5	20	20	800
858	15	0.5	20	40	200
859	15	0.5	20	40	400
860	15	0.5	20	40	800
861	15	0.5	20	100	200
862	15	0.5	20	100	400
863	15	0.5	20	100	800
864	15	0.5	40	2	200
865	15	0.5	40	2	400
866	15	0.5	40	2	800
867	15	0.5	40	5	200
868	15	0.5	40	5	400
869	15	0.5	40	5	800
870	15	0.5	40	10	200
871	15	0.5	40	10	400
872	15	0.5	40	10	800
873	15	0.5	40	20	200
874	15	0.5	40	20	400
875	15	0.5	40	20	800
876	15	0.5	40	40	200
877	15	0.5	40	40	400
878	15	0.5	40	40	800
